country_name,admin1_name,latitude,longitude,aggregation,indicator,value
#country,#adm1+name,#geo+lat,#geo+lon,,#indicator+name,#indicator+num
Congo,Likouala,2.997,18.49968,none,flood,1.0
Congo,Likouala,2.99476,18.4907,none,flood,1.0
Congo,Likouala,2.99476,18.49294,none,flood,1.0
Congo,Likouala,2.99476,18.49519,none,flood,1.0
Congo,Likouala,2.99251,18.48845,none,flood,1.0
Congo,Likouala,2.99251,18.4907,none,flood,1.0
Congo,Likouala,2.99251,18.49294,none,flood,1.0
Congo,Likouala,2.99251,18.49519,none,flood,1.0
Congo,Likouala,2.99027,18.4907,none,flood,1.0
Congo,Likouala,2.98802,18.48845,none,flood,1.0
Congo,Likouala,2.98802,18.4907,none,flood,1.0
Congo,Likouala,2.98578,18.48621,none,flood,1.0
Congo,Likouala,2.98128,18.48396,none,flood,1.0
Congo,Likouala,2.97904,18.47947,none,flood,1.0
Congo,Likouala,2.97679,18.47498,none,flood,1.0
Congo,Likouala,2.97679,18.47947,none,flood,1.0
Congo,Likouala,2.97455,18.47498,none,flood,1.0
Congo,Likouala,2.97005,18.47273,none,flood,1.0
Congo,Likouala,2.96781,18.46824,none,flood,1.0
Congo,Likouala,2.96781,18.47049,none,flood,1.0
Congo,Likouala,2.96781,18.47273,none,flood,1.0
Congo,Likouala,2.96556,18.47049,none,flood,1.0
Congo,Likouala,2.96332,18.47049,none,flood,1.0
Congo,Likouala,2.96107,18.46824,none,flood,1.0
Congo,Likouala,2.96107,18.47049,none,flood,1.0
Congo,Likouala,2.95883,18.46599,none,flood,1.0
Congo,Likouala,2.95883,18.46824,none,flood,1.0
Congo,Likouala,2.95658,18.46375,none,flood,1.0
Congo,Likouala,2.95658,18.46599,none,flood,1.0
Congo,Likouala,2.95658,18.46824,none,flood,1.0
Congo,Likouala,2.95433,18.46375,none,flood,1.0
Congo,Likouala,2.95433,18.46599,none,flood,1.0
Congo,Likouala,2.95433,18.46824,none,flood,1.0
Congo,Likouala,2.94535,18.45252,none,flood,1.0
Congo,Likouala,2.93861,18.44578,none,flood,1.0
